184;522;700;603;290;308;339;734;410;416;707;502,9;
185;536;610;695;717;672;644;635;366;302;655;583,2;
186;206;493;701;648;528;729;651;378;507;749;559;
187;185;698;614;94;456;658;264;233;447;683;433,2;
188;524;453;689;682;689;671;520;427;281;546;548,2;
189;549;697;559;655;507;689;664;311;600;668;589,9;
190;399;424;541;684;490;678;426;612;305;737;529,6;
191;632;465;502;608;663;615;526;292;616;705;562,4;
192;647;455;662;413;517;377;624;277;600;739;531,1;
193;522;510;671;534;425;666;677;501;708;600;581,4;
194;114;734;625;556;660;239;-199;293;492;440;395,4;
195;273;677;612;669;356;659;-149;419;399;677;459,2;
196;282;430;480;657;511;672;509;669;702;649;556,1;
197;378;624;594;693;532;725;594;670;404;658;587,2;
198;523;647;659;681;521;569;560;322;258;698;543,8;
199;262;706;614;633;607;623;639;-12;599;746;541,7;
200;-32;761;403;672;436;279;429;577;52;734;431,1;
201;607;517;450;654;421;369;621;-59;744;533;485,7;
202;144;725;686;583;349;664;282;446;361;713;495,3;
203;541;441;616;653;579;672;543;431;612;628;571,6;
204;437;490;650;667;496;518;617;692;728;680;597,5;
205;685;627;448;612;490;714;644;519;695;757;619,1;
206;158;421;694;689;541;532;529;455;638;485;514,2;
207;613;677;622;721;518;369;680;353;513;718;578,4;
208;584;498;659;608;431;329;707;484;693;650;564,3;
209;652;595;505;694;522;258;730;498;708;690;585,2;
210;397;478;408;760;491;317;495;512;672;572;510,2;
211;358;564;648;596;548;712;702;468;709;746;605,1;
212;474;644;403;590;463;311;748;589;672;575;546,9;
213;347;415;599;463;609;265;753;680;705;733;556,9;
214;562;614;662;396;363;335;699;284;695;725;533,5;
215;399;520;504;698;643;284;577;504;312;595;503,6;
216;289;597;484;673;365;370;617;469;733;744;534,1;
217;49;430;-167;645;541;361;531;291;596;661;393,8;
218;454;594;659;606;580;325;751;374;761;683;578,7;
219;212;630;430;623;400;738;663;679;701;694;577;
220;367;276;686;303;584;-8;652;673;541;710;478,4;
221;138;502;597;613;572;311;646;505;716;394;499,4;
222;-54;549;-57;677;648;365;468;423;702;562;428,3;
223;300;527;706;285;557;296;559;574;187;697;468,8;
224;456;429;709;691;387;595;547;319;645;594;537,2;
225;279;618;432;505;662;698;493;523;563;559;533,2;
226;154;584;627;644;454;559;477;252;527;741;501,9;
227;587;450;589;594;640;612;239;515;709;735;567;
228;461;614;265;383;468;688;639;574;448;704;524,4;
229;575;642;657;533;451;101;396;518;609;608;509;
230;575;166;656;506;736;713;513;515;646;585;561,1;
231;656;606;587;609;647;654;535;482;587;668;603,1;
232;287;690;628;705;497;190;413;550;289;707;495,6;
233;689;401;617;524;664;323;547;550;632;572;551,9;
234;55;489;445;407;541;347;0;681;579;733;427,7;
235;130;658;718;513;575;539;586;624;335;636;531,4;
236;274;379;708;366;697;354;327;518;424;436;448,3;
